Start,End,Script,P1,P2,Final,Match,
7.37,10.8,"Hey Frances, so I just got back from work a little bit ago",greeting,Greeting,,,
10.87,19.14,"My husband, Andrew is still at work, Tristan is at basketball practice and I have to leave pretty soon to bring Aiden to karate",side note,Side Note,,,
19.15,27.34,And then I'm going to go work out while he's at karate,side note,Side Note,,,
,,so I need to cook something that is delicious and nutritious but that will be easy to make while I'm running around,justification,Motivation,,,x
27.45,30.78,The problem is I didn't take any meat out of the freezer.,briefing,Motivation,,,x
31.2,44.27,"Actually, that is not a problem because today we are making teriyaki chicken in the instant pot and as you may know, cooking something frozen in the instant pot is easy to do, so let's go spice things up",goal,Motivation,,,x
,,so let's go spice things up,transition,Transition,,,
44.82,47.91,"OK, so the first thing I'm going to do is take my frozen chicken.",instruction,Instruction,,,
49.73,57.86,And this is a mixture of chicken thighs and chicken legs and I'm just going to put it right in my instant pot,description,Description,,,
57.93,64.71,"Next, I'm going to take a bottle of teriyaki sauce and you can use whatever brand you want",tool (multiple),Tool (multiple),,,
64.75,66.32,Just make sure you get a thicker sauce,tool,Tool (multiple),,,x
66.33,68.19,"If not, it'll be too watery.",tool,Justification,,,x
69.12,73.37,"And this sauce I like, there's another brand that I also use",side note,Side Note,,,
73.38,76.15,This happened to be on sale so I got this one.,side note,Side Note,,,
77.27,79.61,And then just put this right over the top.,instruction,Instruction,,,
83.53,85.93,"Now I usually like to get some soy sauce and pour it right back into the container, usually about 1/3 cup of soy sauce.",instruction ,Instruction,,,
95.46,100.52,And then shake it up just to get all the rest of the sauce out of there.,instruction,Instruction,,,
103.01,104.7,Support right over the top,instruction,Instruction,,,
104.75,106.22,Now we're going to put the lid on.,instruction,Instruction,,,
109.03,121.74,"And all you just want to make sure it shuts even if it looks like it comes up past the line, it will be fine because it will kind of melt down, shrink down anyways and then you want to press ceiling.",early instruction,Description,,,x
122.74,128.19,And now I'm going to turn manual on and I'm going to cook it for 15 minutes.,instruction,Instruction,,,
128.87,133.22,"So the thing about frozen chicken, it takes a lot longer to come up to pressure",description,Justification,,,x
