Start,End,Script,P1,P2,Final,Match,
16.49,19.82,"Welcome, sciatica low back pain.",greeting,Greeting,,,
20.51,23.61,The sciatic nerve is the size of my thumb,background info,Background Info,,,
23.71,29.2,"The longest nerve of the body stemming from the lower back, making its way under the buttocks",background info,Background Info,,,
29.43,35.68,The back of the thigh outside of the thigh and below the knee to the entire lower leg,background info,Background Info,,,
35.73,40.74,"Foot and toes burning, tingling, numbness, cramping, heaviness",background info,Background Info,,,
41.09,47.58,You don't have to have low back pain to have burning or pain or discomfort or weakness into your lower extremities,background info,Background Info,,,
48.01,50.5,I want to show you my 4.,goal,Goal,,,
50.9,56.15,Favorite stretches four favorite stretches to help combat sciatica,goal,Goal,,,
56.5,61.01,Realize that most sciatica does not come just from the disk,briefing,Background Info,,,x
61.06,68.74,"Even though you may have a herniated disk, a bulging disk or disc degeneration from improper positioning and posture quite common.",background info,Background Info,,,
69.39,75.57,With a nerve makes its way out of the lower back going into the buttocks around the piriformis muscle,background info,Background Info,,,
75.71,84.58,"When that area becomes contracted and shortened, it can inflamed that lower buttocks area, affecting that sciatic nerve root",background info,Background Info,,,
84.95,96.32,"So I'm going to show you 4 safe, great stretches you should be doing for lower back sciatic type pain and hopefully will take you out of this major distress",goal,Goal,,,
96.39,99.67,The first one is the piriformis stretch I've showed this many times.,transition,Instruction,,,x
99.76,104.47,"In many of my videos, but it is so important that you don't want to miss this stretch",transition,Side Note,,,x
104.52,105.24,Very simple,side note,Side Note,,,
105.25,108.13,We're going to stretch our left side our left buttocks,instruction,Instruction,,,
108.27,109.61,We're going to lean back,instruction,Instruction,,,
110.04,113.07,We're going to bend this knee,instruction,Instruction,,,
113.12,121.08,"Our left knee and put it behind our right knee just like this, and we're going to grab underneath the leg and we're going to pull straight back",instruction,Instruction,,,
121.12,122.65,I'm going to come a little different angle.,transition,Description,,,x
123.44,125.51,OK left knee is bent,instruction,Description,,,x
125.57,130.09,Grab underneath the right thigh and pull straight back OK,instruction,Instruction,,,
130.1,131.4,Become a different angle here.,transition,Description,,,x
132.47,135.3,OK left knee is bent behind the right knee,instruction,Description,,,x
135.31,142.9,The right the ankle the left left ankle is behind the right knee and we're gonna pull straight back,instruction,Instruction,,,
142.91,146.62,Hold it about 2530 seconds and you can do both sides,early instruction,Instruction,,,x
146.77,149.22,The second stretch we're working the left side,subgoal,Instruction,,,x
149.29,155.02,We're gonna take our left foot and put it on the other side of our right knee just like this,early instruction,Instruction,,,x
155.57,162.66,Now we're just going to grab with both hands the outside of the left knee and we're just going to pull it all the way over.,instruction,Instruction,,,
163.01,165.64,Are you going to hold it there a good 30 seconds?,instruction,Instruction,,,
