Start,End,Script,P1,P2,Final,Match
3.49,5.02,hi i'm mike from one ayano,opening,opening,opening,
5.07,7.5,we've been selling auto parts for over thirty years,opening,opening,opening,
15.69,16.55,open the door,instruction,instruction,instruction,
18.48,22.56,we'll go inside and just here,instruction,instruction,instruction,
22.57,23.18,on the left side,instruction,instruction,instruction,
23.19,25.16,in the lower part is the hood release,instruction,status,,
25.91,27.16,lift up on the hood,instruction,instruction,instruction,
27.45,28.78,find the safety release,instruction,instruction,instruction,
28.83,29.59,it's a lever here,instruction,status,,
29.6,31.5,i'll push it to the passenger side to unlock it,instruction,status,,
31.93,32.96,lift it up,instruction,instruction,instruction,
33.03,34.03,proper odds here,instruction,instruction,instruction,
35.55,39.73,put it in place to replace the turn signal light bulb,subgoal,instruction,,
39.84,41.86,that's it in the front of the headlight housing,subgoal,status,,
41.87,49.73,here we'll go in from the behind and you can just slide your hand in here in the sockets right here,instruction,instruction,instruction,
50.68,54.69,being careful with the sheet metal and trying to counter clockwise to unlock it,instruction,warning,,
55.97,56.74,pull it out,instruction,instruction,instruction,
57.55,59.48,i'll use my other hand's reach in here,instruction,instruction,instruction,
59.49,60.58,you can pull the bulb straight out,instruction,instruction,instruction,
64.62,74.6,this is a w y twenty one w which is seven four forty five but it's an amber,tool,status,,
76.37,81.9,put it right back in to replace it then slide it back into the housing,instruction,instruction,instruction,
84.37,86.43,i kind of find the openings for the locks,instruction,instruction,instruction,
88.22,92.1,there it is and then i'll turn it clockwise to lock it in place,instruction,instruction,instruction,
93.9,100.03,this particular car has xenon headlights so this light in here is not the high beam,context,status,,
100.04,102.02,it's actually a daytime running light,context,status,,
102.78,107.65,so if you come behind you can reach it and this is all the same as the driver side,instruction,instruction,instruction,
109.15,114.38,there's a lock cover in here and i'll turn it counterclockwise to unlock it,instruction,instruction,instruction,
118.35,124.44,point out turn the other socket counterclockwise to unlock it and pull it out,instruction,instruction,instruction,
127.93,127.98,in,tool,context,,
127.99,133.84,this particular one has an led in here and but it would be changed the same exact way,tool,context,,
134.08,137.83,you push it down and then unlock it and pull it out,instruction,instruction,instruction,
141.55,148.22,you can just turn it to unlock it pull it out and push it back in and of course it will go right back into the headlight housing,instruction,instruction,instruction,
153.8,163.09,go right back into the opening find the locks and once it sides in place you turn it the clockwise to lock it,instruction,instruction,instruction,
165.32,166.87,and then replace the cover,instruction,instruction,instruction,
172.88,177.35,he's usually have an arrow on them that shows the direction but you also have to find the locks,instruction,context,,
178.4,180.11,so you kind of have to get it lined up,instruction,instruction,instruction,
