Start,End,Script,P1,P2,Final,Match
0.23,2.36,hey you guys it's brittany and welcome back to my channel,opening,opening,opening,
2.37,8.36,so today's video surprise surprise finally is going to be how i make my soft boiled eggs,goal,goal,goal,
8.37,10.82,now i am not a cooking channel at all whatsoever,side note,motivation,,
10.83,12.5,i can like barely cook you guys,side note,motivation,,
12.51,18.96,i'm just getting into it if you are new to my channel but i have been promising this on my blogs for probably a year now,motivation,motivation,motivation,
18.97,20.7,so kim this one is for you,motivation,motivation,motivation,
20.81,25.78,about how i make my soft boiled eggs and it's something really simple quick and easy to do,goal,goal,goal,
25.79,28.08,and i make like breakfast or a food in general,motivation,context,,
28.09,29.4,i kind of like quick and easy,motivation,context,,
29.47,30.63,and i love salt buildings,motivation,context,,
30.64,32.41,it's one of my favorite things to eat for breakfast,motivation,context,,
32.46,36.77,so i was looking around in the kitchen and i was like i think i'm gonna have some soft boiled eggs and i was like girl,motivation,context,,
36.78,39.91,you better bust out the camera and start filming because you've been promising that,motivation,context,,
39.92,41.49,so here it is,bridge,bridge,bridge,
41.5,43.3,it's really really really simple to do,context,context,context,
43.31,49.14,i'm going to do this a little bit vlogging style here so first thing we're going to need is a pot to boil the water,tool,instruction,,
49.18,52.17,now i think there's a couple of different ways to do soft boiled eggs,context,status,,
52.18,58.29,my husband actually does his differently than mine but i like my method and my way better,justification,status,,
58.34,59.55,so that's what we're going,justification,bridge,,
59.56,60.61,we're going with my way,justification,context,,
60.68,63.18,yeah we want to go ahead and fill up the pot of water,instruction,instruction,instruction,
63.25,65.32,ok so i did go ahead and put my water in,status,status,status,
65.33,68.24,as you can see it's probably just a little bit more than halfway,status,status,status,
68.31,70.58,honestly i don't ever measure out my water,context,context,context,
70.59,73.22,i just make sure i put enough water in the pot,instruction,context,,
73.31,75.81,that way my eggs will be fully submersed,justification,justification,justification,
76.03,82.96,then i'm going to go ahead and put it on high for the temperature and i am going to just let this sit until the water starts to boil,instruction,instruction,instruction,
84.74,93.75,while i'm waiting for my water to boil i'm going to go ahead and take out my eggs that way they can get a little bit room temperature and i always just make two soft boiled eggs for myself,instruction,instruction,instruction,
93.82,95.31,alright so my water is boiling,status,status,status,
95.32,96.69,so now what we're gonna do,bridge,bridge,bridge,
96.76,99.81,it was we're going to turn this on like on a low heat,instruction,instruction,instruction,
99.82,103.13,i usually put it like between like a three and a two,instruction,instruction,instruction,
103.2,104.41,so just like a low heat,instruction,status,,
104.42,107.01,then we're just going to add our eggs into the water,instruction,instruction,instruction,
107.02,109.65,but obviously it's hot so i don't use my hands,instruction,tool specification,,
109.66,111.69,i use like a little spoon thingy,tool,tool,tool,
