Start,End,Script,P1,P2,Final,Match
0.8,3.85,these photos were taken about eighty years ago,motivation,motivation,motivation,
3.92,10.33,over the years they have become covered with dust have faded scratches and creases have appeared,motivation,motivation,motivation,
10.42,14.97,it is unlikely that they will stay even in this shape as more time passes,motivation,motivation,motivation,
15.16,19.13,it's a good thing we have managed to digitize and restore the images,motivation,motivation,motivation,
19.2,30.65,my name is daria and ,opening,opening,opening,
,,today i'm going to show you how to save a family archive by restoring some old photos using retouching will,goal,goal,goal,
30.7,36.19,a friend of mine and his family came across their grandmothers photo archive in the attic,context,side note,,
36.24,45.03,they thought it had been lost since the previous house move voted that are sixty seventy or even eighty years old have been miraculously preserved,context,side note,,
45.12,48.07,the picture showed the grandmother in her younger days,context,side note,,
48.14,50.47,her family friends and colleagues,context,side note,,
50.74,56.08,part of the history of the family thought to be irretrievably lost is now restored,context,side note,,
57.13,60.64,one disappointment the time hasn't spared all the photos,context,side note,,
60.93,63.41,grandmother was always looking through the pictures,context,side note,,
63.47,67.44,the family moved several times and the years have made the photos distinctly,context,side note,,
67.45,71.92,word the papers crumpled the corners erupt or even turned off,context,side note,,
71.99,73.64,creases and cracks have appeared,context,side note,,
74.05,81.4,the images themselves have faded and scratches and scrapes have appeared and there are accidental stains and marks from mold and water,context,side note,,
81.49,84.36,only small fragments are left for some of them,context,side note,,
85.53,90.93,who was going to take the pictures to photo app in the hopes that they would be able to restore them,context,side note,,
91.12,93.97,but fortunately for his wallet he showed them to me,context,side note,,
93.98,98.19,first i know a simple way we can restore old and damaged photos,context,side note,,
98.46,101.9,now i'm going to show you how we restored wheels photo archive,subgoal,subgoal,subgoal,
102.99,107.54,first we digitize the photos and save the images in jpeg format,instruction,instruction,instruction,
107.87,112.52,nothing special and ordinary scanner or multifunction printer will do,tool (multiple),tool (multiple),,
113.03,115.48,you can even turn your phone into a scanner,tool (multiple),tool (multiple),,
115.55,121.74,there are multiple applications that can help you do that for instance eye scanner scan blood or food of mine,tool (multiple),tool (multiple),,
121.91,128.38,even if the photos are fine and there is no need for retouching i still strongly recommend you make a digital copy,instruction,instruction,instruction,
128.57,138.56,you know just in case over the years old hard copy photographs will deteriorate get damaged or just get it simply lost,instruction,instruction,instruction,
139.99,143.42,after digitizing the photos we can move on to retouching,subgoal,subgoal,subgoal,
143.49,149.92,here are our electronic copies of the photos in jpeg format can you see what time has done to this picture,status,status,status,
150.01,151.57,the edges are afraid,status,status,status,
151.68,158.96,one corner is completely torn off the picture is spoiled by crises and the photo ink has begun to crack and crumble,status,status,status,
159.05,161.78,not to mention the various spots and dots,status,status,status,
162.14,165.3,so let's see what we can do to restore the picture,bridge,bridge,bridge,
165.49,170.58,for that we'll need mavi photo editor open the program and upload the boda,tool,tool,tool,
171.24,175.19,i'll use this picture to show you how the restoration works,instruction,tool,,
175.42,179.71,the photo was taken in nineteen thirty over eighty years ago,context,tool specification,,
179.8,182.11,the girl on the right is will's grandma,context,tool specification,,
182.18,184.17,two other girls are her cousins,context,tool specification,,
184.22,187.44,they are wearing the working clothes of the time in this picture,context,tool specification,,
187.45,191.83,they were about twenty twenty five years old and worked at a paltry farm,context,tool specification,,
191.9,198.85,unfortunately the edges of the picture are completely wiped out plus an unwanted shadow has appeared on our scanner,status,tool specification,,
198.9,204.01,i recommend that you sacrifice some of the image and crop the edges off completely,instruction,instruction,instruction,
204.36,206.57,click on the crop tab here,instruction,instruction,instruction,
206.58,211.05,you can choose the standard aspect ratio of the photo or set it manually,instruction,instruction,instruction,
211.18,216.01,since i'm used to photos from iphones i'll choose a ratio of three to two,instruction,instruction,instruction,
216.1,222.2,so this photo will mimic the format of other photos from my collection and it will be easier for me to print it,justification,instruction,,
224.39,226.58,let's move to the restore tab,instruction,instruction,instruction,
226.71,229.3,that's the place where all the magic happens,side note,side note,side note,
229.47,236.08,click restore and wait till the program analyzes the photo and offers its own restore suggestion,instruction,instruction,instruction,
236.39,239.56,everything happens automatically as if by magic,instruction,instruction,instruction,
240.29,242.8,now let's compare the before and after,subgoal,subgoal,subgoal,
242.93,243.84,make a difference,status,status,status,
243.85,246.34,doesn't it notice how i'm above before,status,status,status,
246.35,251.26,the editor has concealed for the crisis and covered up the scratches and cracks in the folder,status,status,status,
252.74,255.98,older restoration tool works just in one click,instruction,instruction,instruction,
256.35,262.28,you can save and print the picture right now if you want but i'm going to take it a stage further,instruction,instruction,instruction,
262.43,267.2,if you click enhance folder the program will offer another option for retouching,instruction,instruction,instruction,
267.45,272.12,do you see how the coloring in our picture has become deeper with more contrast,effect,effect,effect,
272.67,276.86,i will leave this option in place and attentive viewer will not,context,context,context,
276.87,282.61,as a few small details that the automatic correction failed to fix i'll try to fix this,context,context,context,
282.75,283.36,manually,context,context,context,
283.56,285.43,open the object removal tab,instruction,instruction,instruction,
286.26,286.67,here,instruction,instruction,instruction,
286.68,290.33,you need to set the brush size and carefully highlight the remaining floors,instruction,instruction,instruction,
297.87,301.65,then you need to set a variation's better to make it bigger,instruction,instruction,instruction,
301.73,305.94,the program will take more time to process but the result will be better,effect,effect,effect,
306.21,306.62,click,instruction,instruction,instruction,
306.63,307.9,start erasing,instruction,instruction,instruction,
312.79,313.68,hiring,side note,side note,side note,
313.83,321.67,now we're even closer to perfection now,status,status,status,
321.68,323.33,the folder is quite noisy,status,status,status,
323.38,326.01,it has an unwanted level of granularity,status,status,status,
326.06,327.61,let's try to fix that,subgoal,subgoal,subgoal,
327.72,329.31,click the denoise tab,instruction,instruction,instruction,
329.92,332.27,i'll pick the last preset from the list,instruction,instruction,instruction,
332.32,341.03,might seem as you can see the noise has disappeared too much,status,status,status,
341.04,341.67,perhaps,status,status,status,
341.94,344.29,the folta is now pretty soby,status,status,status,
344.38,348.42,i'll reduce the intensity of the preset to remove the unwanted effect,instruction,instruction,instruction,
349.34,350.75,now it looks better,status,status,status,
350.84,353.07,compare the photo with what it was,bridge,instruction,,
353.24,356.31,did you notice that the original picture was in sepia,status,status,status,
356.44,360.47,after auto recovery our photo acquired shades of grey,status,status,status,
360.62,366.35,you can leave it this way but if you prefer cpia use one of the filters in the program's collection,instruction,instruction,instruction,
366.4,376.84,you can find it in the effects tab for will's foda,instruction,instruction,instruction,
376.89,380.12,i've chosen this filter and lowered the intensity,instruction,instruction,instruction,
388.55,393.99,finally you can go to the adjust tab and tweak the brightness and contrast in the picture,instruction,instruction,instruction,
404.22,406.43,i think our folder is ready now,status,status,status,
406.44,408.83,i can save the restored version and print it,instruction,subgoal,,
409.26,410.33,click save,instruction,instruction,instruction,
410.54,413.29,choose the gpac format and high quality,instruction,instruction,instruction,
417.47,419.34,using movavi photo editor,reflection,outcome,,
419.41,424.22,i managed to restore not only this photo but also others from will's archive,reflection,outcome,,
424.31,427.92,everyone in his family was very happy when they saw their results,outcome,reflection,,
427.99,434.64,now that we have our restore digital copies of the photos the family memories are not endangered anymore,reflection,reflection,reflection,
434.69,437.16,you can print new copies at any time,reflection,reflection,reflection,
437.31,442.94,the jpeg files won't band won't tear and won't disappear down the side of the sofa,reflection,reflection,reflection,
443.03,444.08,tearing a move,reflection,reflection,reflection,
444.13,449.13,take care of your family photo archives before time destroys those valuable memories,reflection,reflection,reflection,
449.34,454.93,as you can see you can easily restore and retouch your old family photos yourself,reflection,reflection,reflection,
454.98,457.03,you don't need to give them to a photo app,reflection,reflection,reflection,
457.1,459.65,movavi photo editor will do the job,reflection,reflection,reflection,
459.7,460.19,i hope,closing,closing,closing,
460.2,464.03,this video was helpful and you managed to restore some of your photos,closing,closing,closing,
464.1,469.23,tell us in the comments or even better show us the results that you've got to learn more about,self-promo,side note,,
469.24,471.07,what food editor can do,self-promo,self-promo,self-promo,
471.16,473.89,how for example could you change the background in a photo,self-promo,self-promo,self-promo,
474.52,476.69,take a look at this to find out,self-promo,self-promo,self-promo,
476.82,485.71,don't forget to subscribe to our youtube channel where you'll find simple tutorials on how to shoot and edit video and do more creative work with your photos,self-promo,self-promo,self-promo,
485.82,488.57,bye k,closing,closing,closing,
