Start,End,Script,P1,P2,Final,Match
1.38,2.27,hey everybody,opening,opening,opening,
2.28,12.69,so today's diy project is going to be me showing you how i made this super easy bunny wreath using only products from the dollar tree,goal,goal,goal,
13.4,20.97,so the first thing is that you're going to need is the wreath that you can grab from dollar tree in two sizes,tool,tool,tool,
20.98,38.43,i use the big one and the small one for the head and then also you will need some twine and i will be using that to tie the top to the bottom and then you can use the flowers of your choice and i,tool specification,tool specification,tool specification,
38.44,38.57,i,tool specification,tool specification,tool specification,
38.63,43.34,i picked up these two colors and they do have the clips on the back but you're going to just take those off,tool specification,tool specification,tool specification,
44.97,50.8,also you need some carnations which i thought would be good to use for the tail,tool,tool,tool,
52.53,65.14,you will need some floral foam balls and these did come from dollar tree and they have different sizes in them so i have that and then you will use some bunny ears of your choice,tool,tool,tool,
65.15,69.85,i'm going to use the headband in yellow and you'll need a hot glue gun,tool,tool,tool,
70.56,75.52,so the first thing that you're going to do is prepare your wreaths,subgoal,subgoal,subgoal,
75.53,85.75,i'm just taking the tags off and i'm going to get my twine and pull off a lot of it to tie those together,instruction,instruction,instruction,
85.79,91.38,now i'm not used to tying things you know i'm,side note,side note,side note,
91.39,97.62,i might not have the best knot or anything but i think i did pretty good because of the reef,side note,side note,side note,
97.63,98.37,stayed together,side note,side note,side note,
98.38,105.69,so i just pulled it through and i just tied it into a knot in the middle just to keep them together,instruction,instruction,instruction,
108.1,109.87,and like i said i'm not the best,side note,side note,side note,
109.88,113.93,i'm pretty sure there is a different way to do this but this is how i did it,side note,side note,side note,
113.99,124.91,and like i said i just tied it in a knot to make sure those two pieces stay together and then i'm going to just take the ends and wrap it in the opposite ways,instruction,instruction,instruction,
124.92,135.24,going around one way and then i'll use the other string to wrap it around the opposite way eventually to just tie the ends into a knot,instruction,instruction,instruction,
146.39,149.93,now that i'm done wrapping it i'm just going to tie it right here,instruction,instruction,instruction,
158.66,164.92,and then i'll cut off the excess string once finish and i was just showing you that,instruction,instruction,instruction,
164.93,166.2,it was nice and sturdy,instruction,instruction,instruction,
166.21,170.65,so i'm just cutting off the excess and that's it for the top and the bottom,instruction,instruction,instruction,
172.89,180.03,then i'm going to take the the foam balls and and i was trying to decide which size i wanted to use,instruction,instruction,instruction,
180.04,195.05,so i'm gonna go with the medium size and i took the carnations and umm i thought they would look nice all gathered together so i'm just pulling them off the stems and these will be stuck into,instruction,instruction,instruction,
195.11,196.9,oh save that in piece,instruction,instruction,instruction,
197.03,200.82,you can use that for a different diy project that i may show you later,instruction,instruction,instruction,
200.94,207.76,so then you just stick the carnation pieces into the phone ball where you want them,instruction,instruction,instruction,
207.81,216.32,and basically i'm just doing this to see where i'm going to make the holes at and then after i get them where i want them,instruction,instruction,instruction,
216.33,225.03,i'm going to go back in and use the hot glue gun to secure those in there because they'll fall out like that,justification,justification,justification,
228.49,231.64,so i'm just going to use my hot glue gun on the ends of it,instruction,instruction,instruction,
231.65,240.11,and then i'm going to stick them back into the hole that i already created and then once i have all of that done,instruction,instruction,instruction,
240.12,246.62,you'll see it looks like this and i'm just showing you that they're nice and secure and they don't come out,status,status,status,
248.73,250.88,they're nice and snug so that'll be the tail,status,status,status,
255.02,259.29,so i'm going to take the flowers and i'm going to go with yellow since the bunny ears were yellow,instruction,instruction,instruction,
259.3,264.19,so i'm taking the flowers and i'm just going to pull the clip off like that and it's super easy,instruction,instruction,instruction,
267.4,272.74,this one gave me a little bit of trouble but it was easy and i'm just seeing where i'm going to place them in,instruction,instruction,instruction,
273.04,281.55,the stems on the back of the flower can easily put be pushed inside in between the pieces of the reef,context,context,context,
281.62,283.25,so that's what i was showing you,context,context,context,
283.31,288.44,now i'm just going to put some hot glue on there and stick those where i want them,instruction,instruction,instruction,
295.44,297.06,i'm going to do the same with this one,instruction,instruction,instruction,
299.44,301.53,i was just seeing where i was going to want to place it,context,context,context,
304.58,309.3,ok so after i did that and i got the flowers to look how i want them to look at,bridge,status,status,
309.37,319.66,the next thing i'm going to do is go back in and put the hot glue on the styrofoam piece and glue it to the bottom of the wreath,instruction,subgoal,instruction,
320.94,325,i know some people put the ball on the front but then i didn't want to do that,context,context,context,
325.01,331.59,i wanted to put the tail on the side so that it would look like the bunny tail was coming from off the side of him,context,context,context,
331.6,337.25,if i put it in the front it looks like you have a front facing bunny rabbit with a tail in the front as well,context,context,context,
337.26,338.29,and i didn't want that,context,context,context,
338.38,342.59,so next i'm just going to put the ears up here,subgoal,subgoal,subgoal,
342.6,348.87,you could have cut the ears off i assume and glue those up at the top,instruction (multiple),instruction (multiple),instruction (multiple),
348.92,356.91,but the person that i'm making this for wanted me to leave the band on there and they thought that it would look cute,justification,justification,justification,
356.96,359.58,as if the bunny was wearing fake bunny ears,justification,justification,justification,
359.59,368.91,i don't know but however i'm just putting some hot glue in the middle and i'm just going to place it where i want it,instruction,instruction,instruction,
369.12,375.42,and i'm going to make sure i'm pressing this down all the way around so that it will stay,instruction,instruction,instruction,
380.65,382.95,and here i am just showing that i'm just i'm,context,context,context,
383.01,389.27,i'm making sure that it's really secure and i'm pressing it down really hard so that that doesn't come off,context,context,context,
390.42,401.33,now if you wanted to you can put a ribbon glue a ribbon right here on both sides and that way you will be able to hang it like on a door hanger or anywhere you wanted to hang it,instruction (optional),instruction (optional),instruction (optional),
401.4,404.17,but this person didn't want me to put the ribbon on it,justification,justification,justification,
404.18,406.41,they want to just put it on top of their fireplace,justification,justification,justification,
406.56,408.67,so i'm just going to leave it like that,justification,justification,justification,
408.76,410.13,and that's it,bridge,outcome,outcome,
410.62,412.07,my finished bunny wreath,outcome,outcome,outcome,
412.28,417.59,you can purchase these i believe at michael's or anywhere else for a lot more than six dollars,reflection,tool specification,reflection,
417.6,420.38,so yeah this is my finished product,outcome,outcome,outcome,
420.47,421.55,help you enjoyed it,closing,closing,closing,
421.56,425.21,hit the subscribe button and stick around,self-promo,self-promo,self-promo,
