Start,End,Script,P1,P2,Final,Match
3.89,5.39,boy this feels so formal,side note,opening,side note,
6.07,7.88,hey planners welcome back to my channel,opening,opening,opening,
7.89,20.1,today i wanted to actually pot up some hoya chelsea cuttings that i recently rooted in water and also show you guys how to make or the recipe i use for a well draining,goal,goal,goal,
20.11,22.07,chunky potting mixture,goal,goal,goal,
22.13,24.34,but first bourbon,side note,side note,side note,
32.37,37.32,now i know i need to say this but alcohol is definitely not a requirement to report your plants,side note,side note,side note,
37.33,40.16,however i do not like messes,side note,side note,side note,
40.23,43.5,i don't like when my hands are dirty when i'm eating,side note,side note,side note,
43.65,47.92,every time i have any kind of bite of food i'm wiping my hands and my face,side note,side note,side note,
47.99,49.25,it's oc d,side note,side note,side note,
49.41,50.52,it's not fun,side note,side note,side note,
50.75,52.99,i've never eaten ribs because of it,side note,side note,side note,
53.07,61.78,but to control my inner joan crawford and make sure that and calm and collected while my entire dining table is a mess,side note,side note,side note,
61.79,63.38,no wire,side note,side note,side note,
63.45,65.58,hi guys ever,side note,side note,side note,
65.83,66.7,we got this,side note,side note,side note,
67.09,70.3,i got these cuttings from a local business that i was visiting,tool specification,tool,tool,
70.31,75.04,they had a giant hoya plant in their lobby and i just asked them if i could have some cutting,tool specification,tool specification,tool specification,
75.05,77.28,so i did it without stealing,side note,tool specification,side note,
77.29,82.18,the person that took care of the hoya didn't understand that when you cut it you could root it in water,context,context,context,
82.19,87.22,and also that from where you cut it on the main plant it would branch out or create a new branch,context,context,context,
87.34,94.43,so it was a good learning experience for me to just tell someone how awesome plants are but also they were happy to let me do it,side note,side note,side note,
94.5,101.8,i mean who could say no to this ,side note,side note,side note,
,,but since i've actually done this and kind of updated them on the routes,side note,side note,side note,
102.33,108.84,they have done more cuttings so more people can be blessed with hoya chelsea cuttings because this plant is really,side note,side note,side note,
108.89,109.56,really cool,side note,side note,side note,
109.57,114.94,so for my well draining soil mixture today i'm using one part cactus and succulent soil,tool specification,tool,tool,
115.88,119.48,a half a part of orchid bark and a half apart of perlite,tool specification,tool,tool,
120.2,124.91,and then my super secret ingredient a spitz worth of glitter,side note,tool,side note,
124.92,127.46,yeah all steps,side note,side note,side note,
127.5,132.06,so if you're breaking that down if i use one cup of cactus and succulent soil,tool specification,tool,tool,
132.07,136.12,then i'm going to use half a cup of orchid bark and a half a cup of perlite,tool specification,tool,tool,
136.17,139.13,so when i mix my soil i mix it in a container,tool ,tool ,tool,
139.14,147.36,i just got this little plastic container from walmart and i've labeled this one cactus because i have one for cactus soil or well draining soil,tool specification,tool,tool specification,
147.37,149.72,and i have one for regular potting mix,tool specification,tool,tool specification,
149.73,155.23,but i'll put my mixture in this container mix it up and then i microwave it,instruction,early instruction,early instruction,
155.29,157.2,yes that's weird,side note,side note,side note,
157.25,158.04,i get it,side note,side note,side note,
158.29,165.56,however i dealt with a major fungus gnat infestation and even though all of my soil has been in a container,context,context,context,
165.57,170.62,i just feel like if i microwave it it will make sure that nothing that's in that soil will survive,context,justification,justification,
170.69,174,it's kind of the same thing that you used to do with your flower,context,context,context,
174.23,175.72,maybe you did maybe you didn't,side note,side note,side note,
175.77,184.12,my mom always told me to stick it in the freezer for a day before i put it in the pantry because there is bugs in your flower,side note,side note,side note,
186.44,188.09,anyway it worked in the microwave,context,context,context,
188.1,189.11,has worked for me,context,context,context,
189.16,194.69,if that is a huge and major no no you can let me know down below,side note,side note,side note,
194.88,199.73,however i have had no issues and i've been doing it for about four months now,context,context,context,
221.24,224.77,at the bottom of my terracotta pot there is quite a large drainage hole,tool specification,tool specification,tool specification,
224.82,225.33,so what,tool specification,tool specification,tool specification,
225.34,226.39,i usually do is,tool specification,tool specification,tool specification,
226.4,229.79,i bought an entire roll of window screen,tool,tool,tool,
230,231.69,you can buy it your hardware store,tool specification,tool specification,tool specification,
231.7,232.81,it looks like this,tool,tool,tool,
232.87,234.33,i cut a little square out,instruction,instruction,instruction,
234.38,235.71,i just cover the hole with that,instruction,instruction,instruction,
235.72,246.15,i've seen quite a few people use coffee filters or you could even put a large rock over the hole that doesn't fully seal so water can still go through it,tool specification,tool specification,tool specification,
246.16,249.41,so i'm just going to fill my pot with this soil mixture,instruction,instruction,instruction,
256.72,257.59,and then i have,status,status,status,
257.64,260.88,i have three cuttings of this chelsea plant and i have grown roots,status,status,status,
260.89,267.72,so i'm just going to dig a hole and stick this in there and kind of put soil around it,instruction,instruction,instruction,
285.37,292.26,and then i usually kind of tap it a couple of times just to make sure that the soil kind of rests and settles around those roots,instruction,instruction,instruction,
293.89,299.78,hoyas are epiphytic plants so what that means is they don't like to sit around soil,context,context,context,
299.79,310.8,they are very prone to root rot which is why i use this mixture that i created today because it keeps the soil light and fluffy and chunky,context,context,context,
310.81,318.34,and it lets air go through the soil to get to those roots because those roots want equal parts of water and air,context,context,context,
318.41,325.82,this mixture really helps to keep those roots aerated and keeps the plant nice and healthy,context,context,context,
326.01,326.38,all right,bridge,bridge,bridge,
326.39,327.11,there you have it,bridge,bridge,bridge,
327.17,332.38,my hoya chelsea has been the potted up hoya people of the world,outcome,outcome,outcome,
332.39,333.54,what do you think i should do,side note,side note,side note,
333.55,334.98,should i cut these tips off,side note,side note,side note,
334.99,341.08,we usually see hoyas grow with a stick or a stem like this and then the leaves will develop,outcome,context,context,
341.09,345.44,i'm not sure if the leaves will develop on this since i did cut it off the plant,outcome,context,context,
345.61,346.77,so what do you guys think,side note,side note,side note,
346.78,350.21,you should i cut these off or should i just leave it alone and let it grow,side note,side note,side note,
350.29,353.59,let me know down below betsy i'm looking at you,side note,side note,side note,
353.76,358.45,if you enjoyed this video please give it a thumbs up down below and click that subscribe button,self-promo,self-promo,self-promo,
358.46,361.5,if you have not done that yet i would really appreciate it,self-promo,self-promo,self-promo,
361.54,371.93,let me know if you have any questions i can try to answer them or i'm sure someone in the plant community will answer them because this community is wonderful and it's huge and it's fun,side note,side note,side note,
371.98,374.29,and as always i appreciate you hanging out with me,closing,closing,closing,
374.34,377.22,thanks for watching k,closing,closing,closing,
