Start,End,Script,P1,P2,Final,Match
2.69,5.98,i'm gonna show you today how to use the lace piece,goal,goal,goal,
6.03,11.02,lace pace is basically a four d gel so if you look when i open it up it's,tool,tool,tool,
11.09,13.38,it's like the consistency of wax,tool specification,tool specification,tool specification,
13.43,22.14,i mean it doesn't go anywhere and so these are used to create beautiful three d lace designs or any type of fantasy or three d nail art that you could imagine,tool specification,tool specification,tool specification,
22.19,26.92,today i'm just going to show you a pretty easy way to use it on like an everyday client in the nail salon,goal,goal,goal,
26.93,28.5,so as you can see i have it,status,status,status,
28.51,33.4,i'm wearing some gloves and i'm just going to roll this into sort of a little snake,instruction,instruction,instruction,
33.48,34.71,nice and thin,instruction,instruction,instruction,
35.1,37.93,and i'm actually gonna get rid of half of this,instruction,instruction,instruction,
38.09,42.63,this is going to ensure that this goes on nice and thin on the nail,justification,effect,effect,
43,44.49,here's my little snake,status,status,status,
44.54,47.27,just gently press that where i want it to stick,instruction,instruction,instruction,
47.34,49.69,so i'm going for kind of a v shape here,instruction,instruction,instruction,
50.88,53.5,and so there's my little v shape,status,status,status,
53.54,60.91,so what you have to do is you have to start to spread this product and nice and thin using this spoon pusher,instruction,instruction,instruction,
60.97,63,and i'm just going to gently start to press,instruction,instruction,instruction,
63.01,67.8,you can even use your finger a little bit if you'd like so whatever works best for you,tool (multiple),tool (multiple),tool (multiple),
67.92,74.16,but this stuff needs to be as thin as could be on that nail almost to where it's like see through,instruction,instruction,instruction,
74.17,80.98,even one of my favorite tools to squish the stuff down is the clear stamper because the stuff won't stick,tool,tool,tool,
81.05,85.61,do it and it really starts to smooth the product out,tool specification,tool specification,tool specification,
85.68,91.69,i'm gonna take my little silicone tool and i'm gonna use this to just get our edges fixed up here,instruction,instruction,instruction,
91.74,95.39,and this is where all the work goes into this product,context,side note,context,
95.5,98.53,after this it's just plain fun,context,side note,context,
98.74,106.05,i'm a nice edge again and now i can either grab my clear stamper and start to press this out with the clear stamper,tool,instruction,instruction,
106.06,110.83,or i can use my finger or whatever tool i feel like works best to do this,tool (multiple),tool (multiple),tool (multiple),
111.06,113.22,now i'm going to take my dotting tool,tool,tool,tool,
113.79,119.32,we just had these ones made so they have a little teeny weeny weeny side and then another small side,tool specification,tool specification,tool specification,
119.39,123.54,and if you look at most places that has a pattern to it you'll see a lot of flowers in them,context,tool specification,context,
