Start,End,Script,P1,P2,Final,Match
0.25,1.58,hey guys what's up,opening,opening,opening,
1.59,1.88,happy,opening,opening,opening,
1.89,3.12,two thousand seventeen,opening,opening,opening,
3.13,5.9,happy to welcome to two thousand seventeen,opening,opening,opening,
6.01,11,i wanted to start my first video with something that you guys have been requesting and this is a very casual tutorial,motivation,motivation,motivation,
11.01,12.62,i haven't really gotten ready for the day yet,motivation,motivation,motivation,
12.63,14.58,i just wanted to do my brows on camera for you guys,motivation,goal,,
14.59,18.4,this is my bushy brow look that i've been doing,motivation,goal,,
18.41,31.5,unfortunately i have a lot of sparseness without hair on this outer part of my brow and i have started to try this technique where i want it to look like i have brow hair growing and instead of doing more but filled in boxy brow,goal,goal,goal,
31.51,32.84,i hope you guys enjoy it,bridge,bridge,bridge,
32.91,34.1,let's go ahead and get started,bridge,bridge,bridge,
34.11,39.05,first thing you want to use is soap because it gets all the hairs exactly where you want them to be,tool,tool,tool,
39.06,40.38,this is the one i'm using now,tool,tool specification,,
40.39,41.82,i'll put it in the description box,tool specification,tool specification,tool specification,
41.83,43.32,next you want to take a spoolie,tool,tool,tool,
43.4,45.16,i'm just using the end of an eyebrow brush,tool specification,tool,,
45.17,52.61,make sure that the spoli is wet i just ran it under some water and then i kind of just get it all up in there,instruction,instruction,instruction,
52.65,53.95,it's interesting but it works,instruction,instruction,instruction,
53.96,61.23,i'm just going to take the spoolie and as you can see it brushes all the hairs upward and they stay like that,effect,instruction,,
63.3,74.24,kind of push these ones this way to even make them look even more bushy so you could see the difference,instruction,instruction,instruction,
74.25,79.56,now look at these brow hairs or reckless out of control and these are all pushed upwards,status,status,status,
79.61,80.8,look nice and full,status,status,status,
80.81,82.56,bushy when they're all pushed up,status,status,status,
82.57,85.86,it does make my eyebrows look thicker because the hairs go all in one direction,status,warning,,
85.87,87.09,it makes them look a little thinner,status,warning,,
87.13,87.9,we don't want that,status,warning,,
87.95,95.5,alright so i'm just sweeping this product through and my brows are kind of crazy right now because i feel like last time i threaded them there were too thin,side note,side note,side note,
95.55,99.24,so i'm trying to grow them out right now looking a little crazy,side note,side note,side note,
99.46,104.23,this is definitely my bad bro over here but we'll fix it in the film and process,status,side note,,
104.37,106.24,this bra was just struggling,status,side note,,
106.95,108.4,it's ok though it's ok,side note,side note,side note,
108.59,112.86,alright so as you can see now that it's all brushed out i have a lot of sparseness in my brows,status,status,status,
112.87,118.62,what i'm going to do first is focus on the more sparse areas and create heavy hairline strokes,subgoal,subgoal,subgoal,
118.67,121.04,strokes and use the benefit,tool,tool,tool,
121.05,126.48,kubrow in number four and this is just kind of like a brow pomade and i just use the brush it comes with,tool specification,tool specification,tool specification,
126.49,129.45,it's really cute because it's kind of hard the lid just flip it open,tool specification,tool specification,tool specification,
129.87,130.42,boom,tool specification,tool specification,tool specification,
130.47,133.94,i feel like the way you dip this into the product is pretty important,context,context,context,
134,139.5,i find that when i want to make hair like strokes i really focus on dipping the tip of the brush in,context,justification,,
139.51,141,so this part right here,context,status,,
141.05,146.03,you just really want to make sure to get a lot of product there because that's really what i'm using to do,context,instruction,,
146.04,149.3,the hair like strokes lay it all flat on the tip,instruction,instruction,instruction,
149.31,150.58,put a lot of product as well,instruction,instruction,instruction,
150.81,167.31,i'm going to start right here laying down the point of the brush first and then creating the hair like strokes someone a little far,instruction,instruction,instruction,
167.32,167.68,it's ok,instruction,instruction,instruction,
167.69,170.92,you could always wipe it off so i like to fill in the really sparse areas first,tip,tip,tip,
170.93,175.07,that way i can get a grasp of how much product i really need and the rest of my brows,tip,tip,tip,
175.08,181.75,sometimes you don't really need that much product where you have more hairs but you add it anyways just because you feel like you need to add it everywhere,tip,tip,tip,
181.76,182.95,but you don't always need to,tip,tip,tip,
182.96,187.29,so it's good to get an idea of what your shape would be like if those sparse areas were,tip,tip,tip,
187.3,188.99,you know not so sparse,tip,tip,tip,
189,192.97,and it's important to note that i'm using a really really light hand,context,instruction,,
193.04,194.77,when i'm applying these strokes,context,instruction,,
194.82,197.41,i'm not adding lot of pressure,context,instruction,,
197.42,199.21,i want to keep them really light,context,instruction,,
