Start,End,Script,P1,P2,Final,Match
0.36,4.35,hey everybody this is doctor joe and ,opening,opening,opening,
,,today i'm going to show you how to relieve tmj pain,goal,goal,goal,
4.44,5.44,so let's get started,bridge,bridge,bridge,
6.15,7.12,disclaimer alert,side note,side note,side note,
7.13,8.18,disclaimer alert,side note,side note,side note,
11.04,16.51,so i like to start off with just stretching out the neck muscles because they're all kind of connected,instruction,subgoal,subgoal,
16.56,23.87,so put one hand underneath you while you're sitting and take the other hand and just pull gently to the side,instruction,instruction,instruction,
23.88,26.15,but try and keep your head in a neutral position,instruction,instruction,instruction,
26.16,32.03,this is going to stretch out your upper trap muscles so just pulling gently till you feel a nice stretch,effect,effect,effect,
32.1,34.71,and hold that stretch for about thirty seconds,instruction,instruction,instruction,
35.06,45.16,after you do that go ahead and stretch the other side so put your hand underneath gently pull over and hold that stretch for thirty seconds as well,instruction,instruction,instruction,
45.23,48.38,and do this three times on each side,instruction,instruction,instruction,
48.79,56.08,after you get that stretched a little bit then you're just going to do some active stretching so still keeping your head kind of in that upright,instruction,instruction,instruction,
56.09,62.93,neutral position and just turn your head all the way to one side hold that for about three to five seconds,instruction,instruction,instruction,
63.07,70.97,and then turn back the other way's holding that for about three to five seconds and then just alternate back and forth about five times,instruction,instruction,instruction,
70.98,74.98,just kind of stretching and everything and getting it nice and loosened up,instruction,instruction,instruction,
77.77,85.22,so after you do five of those then you're just going to go up looking up towards the ceiling and come back down,instruction,instruction,instruction,
85.39,93.82,now if you have any kind of dizzy symptoms or anything like that if you get dizzy a lot be very careful about when you look up towards the ceiling,instruction,instruction,instruction,
93.83,99.02,so if that makes you feel a little dizzy just look up a little bit and then come down,instruction,instruction,instruction,
99.09,107.8,so after you get those neck muscles nice and loosened up same thing with these just holding three to five seconds and doing it five times each way,instruction,instruction,instruction,
107.87,112.78,then you're going to do some massaging of the muscles up in your jaw,instruction,instruction,instruction,
112.79,114.52,so the masseter muscles here,context,context,context,
114.53,122.9,those are the ones that help us chew and eat so they can get very very tight and then cause some dysfunction in that tmj,context,context,context,
122.95,130.98,so what the best way to just kind of massage those is take take your fingers the three fingers here and just place them on your cheeks,instruction,instruction,instruction,
130.99,133.38,kind of where that it comes in,instruction,context,instruction,
133.39,142.73,so find your jawbone and come down just a little bit push in and then push up so almost like you're forcing yourself to make a smile,instruction,instruction,instruction,
142.74,147.65,so push in can come up so you don't want to push so hard where it's painful,warning,instruction,warning,
147.66,150.69,especially if you have some tmj dysfunction or pain,warning,instruction,warning,
150.98,155.32,it might be a little painful but you want it to feel good like you're loosening everything up,instruction,context,context,
155.33,,and if you've got a lot of tightness and tension in here,instruction,context,context,
,161.51,when you start massaging those muscles that should feel pretty good,effect,effect,effect,
161.52,164.23,so just pushing in and then pushing up,instruction,instruction,instruction,
164.24,169.23,so just do that for about one or two minutes to get get those master muscles nice and loosened up,instruction,instruction,instruction,
169.3,175.7,and then you're going to come up here to your temples where your temporalis muscles are and those have a lot to do with everything here too,context,instruction,instruction,
175.71,179.67,because they do this and they help kind of pull everything right in here,context,effect,context,
179.68,186.37,so again just pushing in with those fingers but with these make a little bit of a circle motion,instruction,instruction,instruction,
186.42,191.17,so again you want some pressure on there you know you want it to feel good and relieve that tension,instruction,instruction,instruction,
191.18,192.65,but you don't want it to be painful,instruction,warning,warning,
192.76,195.67,so just do you know about ten one way,instruction,instruction,instruction,
195.74,202.54,then reverse it and do ten the other way just to really kind of loosen up those muscles and then just alternate back and forth,instruction,instruction,instruction,
202.55,208.14,so same thing do that for about a minute,effect,instruction,instruction,
,,and then after you do that those muscles should feel a little bit looser,effect,effect,effect,
208.19,210.84,so the last thing we're going to do is some exercises,subgoal,subgoal,subgoal,
210.85,217.7,these exercises are going to be isometric exercises which means you're activating those muscles but you're not moving the muscles,context,context,context,
217.71,220.64,so we're really going to kind of work on that tmj joint,context,context,context,
220.65,226.66,now sometimes when you do these exercises you'll feel a little pop in that joint especially if it's out of alignment,context,context,context,
226.71,230.26,is as long as it's not painful or if it's just a little bit of pain and then it goes away,context,context,context,
230.27,232.82,that's ok it's just trying to realign itself,context,context,context,
232.95,238.68,but you what you want to do is make sure that your jaw is in alignment but your teeth aren't touching,context,instruction,instruction,
238.69,243.08,so your mouth is going to be slightly open with a little bit of space between your teeth,context,instruction,instruction,
