Start,End,Script,P1,P2,Final,Match
1.2,2.87,guys welcome back to my channel,opening,opening,opening,
2.88,6.63,so today i'm going to be showing you quickly on how to make aloe vera,goal,goal,goal,
6.64,22.88,gel yourself at home which you can stop in your refrigerator and you can just remove any time to use for your skin or for your hair ,goal,goal,goal,
,,because it can be kind of like tedious to get aloe vera plant every time when you want to use it for your skin or for your hair,motivation,motivation,motivation,
22.95,24.5,i got this alloy vera plant,tool,tool,tool,
24.51,26.69,i grew them in my house,tool specification,tool specification,tool specification,
26.73,31.86,so but you can get this from a store or from people that grew them,tool (multiple),tool specification,tool specification,
31.87,33.98,i can just make this joy yourself at home,instruction,instruction,instruction,
34.09,36.92,so i'm going to be showing you what i'm going to be doing quickly,bridge,bridge,bridge,
36.93,38.16,i have this jail,tool,tool,tool,
38.23,42.08,this aloe vera plant and i'm just going to cut it up in order to reveal the jail,instruction,instruction,instruction,
60.74,76.22,i'm just going to cut off on the side and i'm just scooping this into my bowl,instruction,instruction,instruction,
76.53,78.71,the gel everything in it,instruction,instruction,instruction,
88.49,93.45,i just have the skin and i will do this for this other i love vera,instruction,instruction,instruction,
95.9,97.19,just repeat the process,instruction,instruction,instruction,
115.72,116.11,guys,tip,warning,tip,
116.12,119.01,can get released slimy so you have to be careful when you're doing this,tip,warning,tip,
119.02,122.15,and this is something you should expect because of the aloe vera gel,tip,warning,tip,
122.24,124.91,so you can see that there are some lumps here,status,status,status,
124.96,127.32,i have the jewel and i have some lumps as well,status,status,status,
127.38,135.2,so with my frock you can't you just have to beat it for about five minutes in order to remove all the lumps,instruction,instruction,instruction,
135.21,139.36,so i'm going to be beaten in it till when everything turns to proper gel,instruction,instruction,instruction,
145.74,151.41,guys say i think have been able to break down the lumps and i have the gel right now,status,status,status,
154.02,156.45,can you see this so very quickly,bridge,bridge,bridge,
156.46,162.79,in order to preserve this i'm going to be adding a bit of my rose water and vitamin e oil,instruction,instruction,instruction,
162.8,172,they are both excellent properties for both skin and hair so i'm going to be adding a cup full of my rose water,tool specification,tool specification,tool specification,
172.01,177.7,this is going to hand acts as a preservative for it so that it doesn't go to school,justification,justification,justification,
184.66,192.78,i'll be adding the tea or a tablespoon of vitamin e oil too,instruction,instruction,instruction,
196.98,200.98,it was quite thick so i have to get it out,tool specification,tool specification,tool specification,
211.79,225.08,so with this properties this can ensure that my aloe vera is preserved and at the same time it's also going to work very well for both my skin care and hair,effect,effect,effect,
226.25,230.46,so i'm just going to beat it together again so that everything is well mixed together,instruction,instruction,instruction,
233.96,235.03,this is my liver right,status,status,status,
235.04,235.18,you,status,status,status,
235.19,237.52,ok can you see the way it looks,status,status,status,
238.67,245.1,so i'm just going to transfer it to a container and their tight container that i can stop in the fridge,instruction,instruction,instruction,
245.91,249.32,you can use a glass container whatever you find that it's ok,tool (multiple),tool,tool (multiple),
249.85,255.3,so like i said these are the major things that i use for my aloe vera treatment,tool,bridge,bridge,
255.41,258.2,rosetta is great for hair and skin,tool specification,tool,tool,
258.27,264.64,it replenishes lost moisture in hair it makes the hair more manageable it makes your hair smoother,tool specification,tool specification,tool specification,
264.65,266.02,shinier and healthier,tool specification,tool specification,tool specification,
266.03,270.82,and we know that it's a very very very very very perfect tuna for the skin,tool specification,tool specification,tool specification,
270.83,273.54,so rose water is very good for both your hair and skin,tool specification,tool specification,tool specification,
273.55,275.94,and that's why i have to put it in my alley,context,tool specification,context,
276.01,282.17,you're a girl because i live here is like the remedy for most things when it comes to hair and skin,context,context,context,
282.5,284.87,so like we know the benefits of this alloy,context,context,context,
284.88,291.95,verragio let me just tell you all over again aloe vera gel is very good for your hair because it helps to heal the scalp,context,context,context,
291.96,299.71,if you have like damaged scalp it's also stimulates dormant effort equals it promotes hair growth,context,context,context,
299.76,301.33,it curbs effort,context,context,context,
301.34,307.96,so in case you are suffering from hair loss alive beranger is something you can apply to your hair and you have hair loss,context,context,context,
307.97,310.67,again it controls shedding of hair,context,context,context,
310.68,316.17,it means it's ensures that your hair remains thick and voluminous all through,context,context,context,
316.23,321.63,it also helps to cure dandruff and flaking for the skin,context,context,context,
321.7,324.57,this aloe vera gel is very very good for the skin,context,context,context,
324.58,328.31,it helps to prevent and to heal,context,context,context,
328.32,329.17,hackney,context,context,context,
329.23,331.33,it's treats sunburn so it's very good,context,context,context,
331.34,331.98,for sunburn,context,context,context,
331.99,334.76,you can just take a bit of this and just rub,context,context,context,
334.77,337.31,just rub it on the affected areas of your body,context,context,context,
337.32,340.94,it acts as a moisturizer because of its water content,context,context,context,
341,345.15,it moisturizes the skin very well without it having this greasy feel,context,context,context,
345.24,351.17,most times we apply moisturizer and it has a greasy feel but i know it is very good because you can eat it two ways,context,context,context,
351.18,352.09,to raise your skin,context,context,context,
352.1,358.27,it doesn't leave any greasy feel it can just moisturize this on your skin properly without any greasy feel,context,context,context,
358.72,360.39,it's also fights aging,context,context,context,
360.8,367.09,you can also use it for removing stretch marks and it's very very good for your overall health,context,context,context,
367.1,368.55,so that's a really vera,context,context,context,
368.56,370.31,it's like all encompassing,context,context,context,
370.48,372.99,excellent for skin care excellent for her,context,context,context,
373,378.07,whatever you want to do whatever you need it for pimples acne sunburn,context,context,context,
