Start,End,Script,P1,P2,Final,Match
0.43,2.17,hi guys where are you here in this video,opening,opening,opening,
2.18,4.36,we're going to draw my dresser cupcake pops,goal,goal,goal,
4.41,6.4,so let's get started to draw,bridge,bridge,bridge,
6.41,8.98,these cake pops are going to first start by drawing a circle,instruction,instruction,instruction,
9.07,12.73,so i just found this random wooden circle piece right here,tool,tool,tool,
12.74,15.36,then i'm just going to use as my circle template,tool specification,tool ,tool specification,
15.43,24.07,so i'm going to go ahead and trace this just to make it easier so i don't have to worry about drawing a nice perfect circle,instruction,instruction,instruction,
24.47,27.27,but of course you don't have to have a template,instruction (multiple),instruction,instruction (optional),
28.52,35.87,so i've got one here and i'm going to come over right next to it and draw another one because these are kick pop friends,instruction,instruction,instruction,
37.43,41.45,and then we draw another one about right there,instruction,instruction,instruction,
43.43,46.2,so just going to go ahead and trace this one too,instruction,instruction,instruction,
53.52,56.05,so there i've got two nice circles in,status,status,status,
56.12,58.33,and so i'm going to start with this one right here,subgoal,subgoal,subgoal,
58.42,63.29,and for this one i decided to just add a little flour to the top just to mix it up,subgoal,subgoal,subgoal,
63.36,65.29,so see some cake pops are really pretty,context,tool,context,
65.3,68.37,they add these little sugar flowers on top,context,tool,context,
68.38,74.25,so but right here on the side right here i'm going to draw a little five petal flower just very simple,instruction,instruction,instruction,
74.26,75.29,nothing fancy,instruction,instruction,instruction,
76.1,86.46,so i'm just going to go one two two three four and five,instruction,instruction,instruction,
86.67,92.54,and they come back in the center here and draw a circle and you can come inside right here and justice,instruction,instruction,instruction,
92.55,100.26,draw some lines for the flower and then from there let's go ahead and give it to bring it to life,instruction,instruction,instruction,
100.27,102.58,so i'm going to come here and draw two big draw,instruction,instruction,instruction,
102.59,103.34,so cute eyes,instruction,instruction,instruction,
103.35,108.7,so towards about right here towards the edge straw,instruction,instruction,instruction,
108.71,110.08,nice circle,instruction,instruction,instruction,
110.15,115.95,and so because my cake pops are going to be not straight up and down i'm going to give it a little bit of a slant,justification,justification,justification,
115.99,118.42,i'm going to make the eyes come out of slant too,instruction,instruction,instruction,
118.43,119.46,so i've got right here,instruction,instruction,instruction,
120.74,126.13,i draw the other circle and so i'm going to make them draw so cute eyes,instruction,instruction,instruction,
126.14,134.65,so two small circles in cypher highlights and curve lying at the bottom and ,instruction,instruction,instruction,
134.66,137.35,notice because the eyes are at a slant my curve right here is also at a slant,effect,effect,effect,
137.86,147.7,and then i'm going to shade it in air lines at the bottom,instruction,instruction,instruction,
149.3,178.44,so the same thing over here two circles and a curve line and shade in the top van lines at the bottom and so from there i'm going to come in the center right here and add a very cute smile right in the center,instruction,instruction,instruction,
178.53,188.22,and then i'm going to cap it off and maybe i just can't resist or add a little you and low tongue,instruction,instruction,instruction,
188.51,193.16,and then let's come in here and make it give it some lashes and just come up one,instruction,instruction,instruction,
193.21,198.98,two one two and come back in here and thicken it,instruction,instruction,instruction,
200.71,204.32,and of course a little curve at the top to anchor it,instruction,instruction,instruction,
205.16,210.01,and let's come back in here now that we have the eyes in and justice decorate it,instruction,instruction,instruction,
210.02,218.53,so i'm just going to give you these nice lots of little sprinkles everywhere however you like it,instruction,instruction,instruction,
