Start,End,Script,P1,P2,Final,Match
0.29,8.12,hey guys this is kevin again from crypted chameleon and friends and today i'm going to show you how to set up your very own small indoor pond,opening,opening,opening,
23.1,28.61,we are approaching winter so it's time for me to bring my goldies back indoors to their small indoor pond,goal,motivation,motivation,
28.74,33.57,many of you have reached out to me in social media because you definitely like what you saw in my first video,motivation,motivation,motivation,
33.58,40.62,so this is a great opportunity for me to show you how i do it step by step so you can do the same for yourself just for time consuming purposes,motivation,motivation,motivation,
40.63,44.14,i went ahead and took the scott container and i put some gravel in there,status,late instruction,late instruction,
44.21,45.74,just simply get a stock container,tool,tool,tool,
45.75,51.8,you can get them anywhere on amazon or ebay and then you can go to your local pet store and you can pick up some gravel,tool specification,tool specification,tool specification,
51.85,57.46,you can choose whatever color suits you best make sure you wash them out thoroughly and then simply put them in there,tool specification,tool specification,tool specification,
57.79,61.26,so now i added a tetra pond fountain filter,tool,late instruction,late instruction,
61.33,63.66,you can find these on the amazon dot com,tool specification,tool specification,tool specification,
63.73,65.92,i'm truly not really a big fan of these,tool,tip,tip,
65.93,71.89,i much prefer to use my crystal flow because it has a uv sterilizer in it to help keep the water clear,tool,tip,tip,
71.94,79.37,but it's currently being used for my goldfish upstairs where there are outdoors so i'm going to go ahead and use this for now so you can find these on amazon,side note,tip,tip,
79.38,83.11,it's not too expensive so it might be a great option for you,tool specification,tip,tip,
83.3,86.87,i also added some biomedia in there to enhance it a bit,tool,tool,tool,
86.92,92.49,and i also put some crushed corals because where i live the ph is pretty low here,tool,late instruction,late instruction,
92.5,98.45,so i put some crushed corals so it can help raise the ph and help stabilize it because goldfish prefers higher ph,tool specification,justification,justification,
98.46,101.46,you're also going to need oxygen for your small indoor pond,tool,subgoal,subgoal,
101.51,103.08,right here is an ear pump,tool,tool,tool,
103.13,104.58,all these accessories here,tool specification,tool specification,tool specification,
104.59,106.58,you can find them on amazon dot com,tool specification,tool specification,tool specification,
106.67,112.06,this one here is from tetra whisper i believe is between a sixty to a hundred gallon air pump,tool specification,tool,tool specification,
112.11,117.76,right over here i have some era tubing is about twenty five feet and over here we have some ear stones,tool,tool,tool,
117.77,120.19,these are accessories to help beautify your pond,tool specification,tool specification,tool specification,
120.43,126.57,not only that it pumps oxygen within your pond but it also lights up as well so it's definitely going to be a nice,tool specification,tool specification,tool specification,
126.58,127.74,beautiful display,tool specification,tool specification,tool specification,
128.36,129.88,right here is an air valve,tool,tool,tool,
130.11,135.07,you're gonna use these ear valves to connect your accessories so you're going to first take your pump,tool specification,early instruction,early instruction,
135.18,138.11,you're going to connect your pump over to the ear tubing,early instruction,early instruction,early instruction,
138.16,141.41,from the ear tubing you're going to go right here and connect it here,early instruction,early instruction,early instruction,
141.48,152.31,and then you're also going to take your tubing and make them individual through these valves and you're going to connect them to the accessories and from the accessories you're going to distribute to different parts of the tank so oxygen can flow throughout,early instruction,early instruction,early instruction,
152.42,,now that we connected the air tubing to the pump you may want to consider getting yourself some black ear tubing so they can camouflage with the background of the pond since it's dark,instruction,tool ,tool,
,164.17,i only happen to have clear air tubing at the time i may swap it out later,status,tool,side note,
