Start,End,Script,P1,P2,Final,Match
0.72,2.67,hi everyone this is the building's doctor here,opening,opening,opening,
2.74,5.15,so for today's video i want to talk to you guys about tip tools,goal,goal,goal,
5.2,8.43,so these are two tip tools i like to use,tool,tool,tool,
8.66,15.09,this is the q tech bow tie tip tool and it is great because it has three different pieces to it,tool,tool,tool,
15.1,19.91,it has the scuffing piece which is up here and that's used you,tool specification,tool specification,tool specification,
19.92,24.52,what you do is you put it kind of on the edge like this is kind of twist your queue around it like that,tool specification,tool specification,tool specification,
25.22,32.21,and what that does is it loosens up the tip a little bit so it holds chalk better so that that's the scuff,tool specification,tool specification,tool specification,
32.6,41.21,then there's this end here which allows you to actually shape the q tip to whatever type of tip tool you got,tool specification,tool specification,tool specification,
41.26,51.27,so they have different radiuses for the tip tool which basically determines like how rounded it is and you can go anywhere from a quarter radius which is used for like break cues and junk,context,tool specification,tool specification,
51.28,54.37,usage is like it's a big radius so that's very flat media,context,tool specification,tool specification,
54.38,64.68,quarter is much flatter so it's a flatter radius or the dime radius is usually what most players use on their playing cues and that's gonna be very rounded so some of these smaller radius,context,tool specification,tool specification,
64.76,68.28,so the flatter your tip is the less spin you get,context,tool specification,tool specification,
68.35,72.9,so if you want to get spin then you most people use like a dime radius on their plane q,context,tool specification,tool specification,
73.01,78.7,but when you don't want to spend like on a on a break queue then you want to use a quarter anyway,context,tool specification,tool specification,
78.71,85.97,so what you do is you can have it this side here and you can shape it and what how i like to shape it is,instruction,instruction,instruction,
86.16,95.88,i usually like to what the queue up like this can i put it down with my left hand as i'm right handed and i see that it's flat,instruction,instruction,instruction,
95.93,105.67,i see that the that the tool is flat and that when i know what i'm gonna do is i'm going to twist it with my right hand and i'm gonna make sure it stays at that same height,instruction,instruction,instruction,
105.68,107.35,perfectly flat the whole time,instruction,instruction,instruction,
107.46,111.55,so i'm getting the exact radius that i want from the tip tool,effect,effect,effect,
111.64,114.28,now you can do so that was what i was doing,context,context,context,
114.29,116.6,i was literally keeping it perfectly straight up and down,context,context,context,
116.61,122.31,and then i was twisting the shaft with my other hand and putting pressure with my left hand,context,context,context,
122.8,123.87,you can do it that way,context,context,context,
123.88,131.8,some people also will put at an angle do the same thing some sort of having it perfectly and i don't have an angle and that'll give you a different radius,context,instruction (multiple),context,
132.05,139.52,i i prefer to just keep it perfectly straight up and down because i know i'm getting exactly the radius that i was supposed to get from it,justification,justification,justification,
