Start,End,Script,P1,P2,Final,Match
0.18,1.25,hey what's up you guys,opening,opening,opening,
1.26,3.38,marty schwartz here with marty music,opening,opening,opening,
3.42,5.75,thanks for hanging out for another gear thursday video,opening,opening,opening,
5.89,12.29,i was really excited to partner with reverb and bring you that video last week talking about picking out your first acoustic,external resource,side note,side note,
12.34,15.03,now we're talking about taking care of that acoustic,goal,side note,goal,
15.04,21.53,and i want to remind you guys that reverb is giving away five hundred dollars in reverb bucks to one of my subscribers,side note,side note,side note,
21.58,24.37,i got a link for the giveaway in the first comment below,side note,side note,side note,
24.38,26.83,now let's talk about taking care of your first acoustic,bridge,goal,bridge,
26.88,27.23,all right,filler,bridge,bridge,
27.24,28.22,so first things first,subgoal,bridge,bridge,
28.23,30.33,we want to keep the guitar clean,subgoal,subgoal,subgoal,
30.83,32.44,there's a lot of different ways to do it,instruction,subgoal,subgoal,
32.45,35.48,a home remedy could be some warm water with a washcloth,instruction,instruction,instruction,
35.79,38.38,you could use some good old fashioned elbow grease,instruction,instruction,instruction,
38.43,43.96,what i prefer is a store bought solution that's a cleaner and polish in one,instruction (multiple),tool,tool,
44.01,47.24,they're really easy to find a lot of different brands out there to to pick from,justification,tool,tool,
47.49,52.64,you spray it on you wipe it down you don't leave any residue on and you should be good to go,justification,instruction,instruction,
52.69,58.98,it's really important to get the gunk off the neck too because there's different oils that secrete from our hands that can damage the wood with time,instruction,instruction,instruction,
59.13,63.44,i don't know what climate you're living in but it can really affect an acoustic instrument when you think about it,subgoal,context,context,
63.45,68.86,like when something's too humid would can swell and when it's too dry wood can crack,context,context,context,
68.92,74.19,now you probably walked into a music store and gone into the back room where all the fancy acoustics are,context,context,context,
74.26,78.93,and that back room is not just so you can hear your guitar over all the metal heads and the other room,context,context,context,
78.98,81.01,but it's actually for climate control,context,context,context,
81.06,81.27,now,context,context,context,
81.28,87.83,imagine you're like me and we don't have some giant climate controlled room that keeps our guitars at the perfect humidity level,context,context,context,
87.88,90.17,but there's a very easy solution for it,bridge,context,context,
90.18,92.55,and it's what i've used for years and years and years,bridge,context,context,
92.63,97.17,in fact this guitar is as old as me and i've been using it on this guitar as long as they've existed,side note,context,context,
97.18,98.83,and they're called humid apacs,tool,tool,tool,
99.12,100.65,and it's real simple,tool,tool,tool,
100.92,107.2,there's these replaceable little pouches that you put in the sound hole and you put in the neck of the guitar case,tool,tool,tool,
107.21,109.03,and you have to keep it in the guitar case,instruction,tool,tool,
109.12,114.17,and so if the environment is too humid those humidity packs will actually dry it up and vice versa,tool,tool,tool,
114.29,116.83,when it's too dry it will add the proper humidity,tool,tool,tool,
116.9,118.01,plus you don't have to check,tool,tool,tool,
118.02,120.87,like different ph levels and temperature levels,tool,tool,tool,
120.94,125.72,it's going to be a simple way to keep the guitar in tip top shape,instruction,effect,context,
125.76,130.96,now the humidity packs are designed for the guitar to be in its case but it will work with the gig bag as well,instruction,tool,tool,
131.05,134.62,and we want to keep it in that gig bag or case to protect it,instruction,instruction,instruction,
