Start,End,Script,P1,P2,Final,Match
2.56,3.15,what's going on,opening,opening,opening,
3.16,3.51,everybody,opening,opening,opening,
3.52,5.21,i'm johnny brooke from crafted workshop,opening,opening,opening,
5.22,8.29,back with another video for the make magazine youtube channel,opening,opening,opening,
8.4,12.53,in today's video i'm going to show you how to build this diy home theater projector screen,goal,goal,goal,
12.64,17.54,and building one of these is really simple and can save a ton of money over a store bought option,goal,goal,goal,
17.6,22.21,so the other nice thing is you can kind of customize it to fit your space add some nice trim,goal,motivation,goal,
22.28,25.39,and make it look really really built in and custom,goal,motivation,goal,
25.46,27.03,so very inexpensive,goal,motivation,goal,
27.04,27.96,very easy to build,goal,motivation,goal,
27.97,29.19,you only need a couple tools,briefing,motivation,tool,
29.2,29.44,really,briefing,motivation,tool,
29.45,34.41,you could do this whole project the circular saw and drill and you end up with a beautiful result,briefing,motivation,tool,
34.42,36.06,so let's go ahead and get started,bridge,bridge,bridge,
36.9,39.36,so here's the materials you'll need for this build,tool,tool,tool,
39.41,45.88,so first you'll need some one by fours to use for the frame and the exact amount of wood you'll need will depend on the size of your screen,tool,tool,tool,
45.93,49.34,next an optional addition to the frame are corner braces,tool (optional),tool,tool (optional),
49.41,55.44,another optional component is back band trim and you'll also need some black paint for the trim if you go with this,tool (optional),tool,tool (optional),
55.51,56.9,next is the screen material,tool,tool,tool,
56.97,62.96,i got my material from carl's place which is a website that specializes in diy projector screen material,tool,tool,tool,
63.03,66.54,and i'll have a link in the video description to the exact item i used last,external resource,external resource,tool,
66.55,69.38,you'll need some felt tape which i also got from carl's place,tool,tool,tool,
70.49,78,so once i had all my materials on a hand i started cutting my one by fours to size so my screen ended up at eighty two inches wide,instruction,instruction,instruction,
78.01,80.54,which is the maximum that would fit in my space,context,context,context,
80.59,91.15,and for a sixteen by nine ratio which is the standard for most tv shows and youtube videos you'll need to divide your width by sixteen and then multiply it by nine to get your height,instruction,instruction,instruction,
91.41,96.8,also make sure to factor in the felt tape when making these calculations and this is something i forgot to do,warning,instruction,instruction,
96.85,100.26,and this caused the final aspect ratio of my screen to be slightly off,warning,instruction,instruction,
101.28,106.53,once i had my pieces cut to length i drilled pocket holes on both ends of the short frame pieces,instruction,instruction,instruction,
106.68,112.95,and i used pocket screws to assemble this frame and they're a simple and strong method of assembling butt joints,instruction,instruction,instruction,
113.08,118.77,a pocket hole jig can be purchased for as little as something like twenty bucks and it's a really handy tool to have on hand,tool,tool,tool,
120.6,129.75,so to assemble the frame i clamp the pieces together making sure they were nice and flush and then add an inch and a quarter of pocket screws and there are three short pieces on my frame,instruction,instruction,instruction,
129.82,133.05,one on each end and one in the center for extra support,instruction,instruction,instruction,
134.38,140.02,after assembling the frame i added corner brackets to the four outside corners of the frame and again,instruction,instruction,instruction,
140.03,147.24,these aren't strictly necessary but they really help to add rigidity since the last thing you want is your frame flexing and causing wrinkles on your screen,justification,justification,justification,
148.93,158.92,next i started cutting the back band trim to size and i started by cutting a forty five degree miter on one end of the trim and then clamped it onto the frame and marked where i needed to cut,instruction,instruction,instruction,
159.09,163.64,i then went back to the miter saw and made the cut's leaving it a little long on the first cut,instruction,instruction,instruction,
163.79,168.9,and when cutting trim it's really best to sneak up on the fit by making multiple cuts like this,tip,tip,tip,
168.95,173.26,i just continue doing this working my way around the frame until i had all the trim fit,tip,tip,tip,
174.38,180.07,once the pieces were cut to length i applied a few coats of black spray paint and this trim came already primed,instruction,instruction,instruction,
180.08,185.66,so that saved me quite a bit of work when painting to mount on the frame to the wall,effect,effect,effect,
185.67,191.66,i used a french cleat and this is a really simple mounting bracket and can be cut from a piece of scrap wood,context,context,context,
191.71,196.68,so to create the french cleat and i ripped a piece of scrap wood down the center at a forty five degree angle,instruction,instruction,instruction,
196.73,198.24,and i used my table saw,tool,tool,tool,
198.25,201.88,but you could do this with a circular saw and straight edge if you don't have a table saw,tool (multiple),tool (multiple),tool (multiple),
202.73,207.73,next i mounted one half of the cleat to the back of the frame using a few inch and a quarter screws,instruction,instruction,instruction,
207.97,213.72,and you can see how the cleat forms a hook which will grab onto the matching piece that will be mounted to the wall,effect,effect,effect,
214.13,223.98,when using a french cleat you also need to add a spacer to the bottom edge of whatever you're mounting so that it's spaced evenly from the wall all the way around to mount the cleat to the wall,instruction,instruction,instruction,
224.05,229.8,i used a few four inch screws making sure to drive them into a stud and also making sure the cleat was level,instruction,instruction,instruction,
230.79,233.62,so next it was time for the most nerve wracking part of this build,subgoal,bridge,bridge,
233.69,235.77,and that was installing the screen material,subgoal,subgoal,subgoal,
235.81,241.72,so the key here is to really just take your time and follow the pattern outlined on the carl's place website,instruction,instruction,instruction,
241.77,249.42,you basically want to attach the screen using a stapler moving in a star pattern going from the center of the frame out towards the edges,instruction,instruction,instruction,
249.69,253.34,just take your time and make sure any wrinkles are removed along the way,instruction,instruction,instruction,
253.47,260.15,i unfortunately rushed this a little bit and i ended up with a few wrinkles but nothing major and nothing you can really notice with the projector on,context,context,context,
261.54,270.17,after attaching the screen i trimmed away any excess with a utility knife and ,instruction,instruction,instruction,
,,i purposely got one size larger than i needed so that i could trim the screen to fit,tip,instruction,instruction,
270.82,272.83,next i installed the felt tape,subgoal,instruction,subgoal,
272.91,280.97,i cut a forty five degree miter on each corner using a speed square and applied the tape making sure not to pull too hard on the tape as this will create wrinkles,instruction,instruction,instruction,
281.93,290.68,i just worked my way around the frame taking my time and making sure i didn't go over the edge of the frame and the trim will cover any overhanging screen material around the edges,instruction,instruction,instruction,
292.6,297.43,after installing the felt tape i installed the trim using a brad nailer an inch and a quarter brad nails,instruction,instruction,instruction,
298.61,302.66,finally i installed the screen using the french cleat and it fit perfectly,instruction,instruction,instruction,
302.71,309.87,one other nice thing about the french cleat system is that i can easily remove the screen if i need to access the area behind the screen at any time,context,status,context,
310.77,314.07,the last thing i needed to do was install my projector a bin,subgoal,subgoal,subgoal,
314.08,314.7,qh,subgoal,subgoal,subgoal,
314.71,315.84,d thirty fifty,subgoal,subgoal,subgoal,
