Start,End,Script,P1,P2,Final,Match
19.11,25.42,if you've ever felt like you can't ride without bouncing all over the place then i hope you're going to enjoy this video,opening,opening,opening,
25.49,27.38,so i'm calling from crkt training,opening,opening,opening,
27.39,35.26,you're watching my weekly video show where i posted a video on a horse training and riding or a horse care topic every week,opening,opening,opening,
35.79,46.92,and one of the one of the most common questions that i get of when i meet people or that people send to me an email is about how do i stop bouncing and it goes from,context,motivation,motivation,definition of motivation
46.99,51.39,if you're a beginner rider and you feel like right now can't ride the trot,context,motivation,motivation,
51.4,58.49,or you're learning to ride the canner and you just can't ride those gates without feeling like you're bouncing and you're hitting the horses back,context,motivation,motivation,
58.54,62.71,or even if you're a more experienced rider and that balance is a little bit more subtle,context,motivation,motivation,
62.72,67.3,maybe you just feel it now and then in a transition where you know that you're getting a little jarred,context,motivation,motivation,
67.31,69.89,you're getting a little bit of out of sync with your horse,context,motivation,motivation,
69.9,72.65,or maybe it's during a lead change or after a jump,context,motivation,motivation,
73.12,82.91,so i've found that riding is really an art of going with movement and as we progress as a rider,context,context,context,
82.98,96.09,we can start to actually initiate good movement but when we're having trouble with with bouncing it usually comes from excess tension or bracing somewhere in our body,context,context,context,
96.16,102.79,so if i start walking here on big boy so this is big boy he's a horse that i have here at my farm in training,tool,tool,tool,
102.88,111.02,and i'm using him deliberately in today's video because big boy was only started under saddle a few months ago,tool,tool,tool,
111.12,119.83,and one of the things that i like to make sure i do with young horses that i'm starting is to not always ride them perfectly,instruction,instruction,instruction,
119.84,125.8,so we when i'm starting a young horse it's good to spend most of the time riding them very well,instruction,instruction,instruction,
125.81,132.05,meaning in good balance teaching the horse that he can be very comfortable and move well under a rider,justification,effect,effect,
132.09,138.55,but there's also times that i want to demonstrate what i'm going to do for you today and bounce a little bit on their back,instruction,instruction,instruction,
138.56,143.96,hit their back a little bit harder than i ideally want to just,justification,instruction,instruction,
,,so that they get used to that,justification,justification,justification,
144.03,147.94,and they don't find it as a a scary experience the first time,justification,justification,justification,
147.95,151.66,it happens with maybe their owner or with a different rider,justification,justification,justification,
