Video ID,Category,Script,Final
h281yamVFDc,Food and Entertaining,"Hey Frances, so I just got back from work a little bit ago",greeting
h281yamVFDc,Food and Entertaining,"My husband, Andrew is still at work, Tristan is at basketball practice and I have to leave pretty soon to bring Aiden to karate",side note
h281yamVFDc,Food and Entertaining,And then I'm going to go work out while he's at karate,side note
h281yamVFDc,Food and Entertaining,so I need to cook something that is delicious and nutritious but that will be easy to make while I'm running around,motivation
h281yamVFDc,Food and Entertaining,The problem is I didn't take any meat out of the freezer.,motivation
h281yamVFDc,Food and Entertaining,"Actually, that is not a problem because today we are making teriyaki chicken in the instant pot and as you may know, cooking something frozen in the instant pot is easy to do, so let's go spice things up",goal
h281yamVFDc,Food and Entertaining,so let's go spice things up,transition
h281yamVFDc,Food and Entertaining,"OK, so the first thing I'm going to do is take my frozen chicken.",instruction
h281yamVFDc,Food and Entertaining,And this is a mixture of chicken thighs and chicken legs and I'm just going to put it right in my instant pot,description
h281yamVFDc,Food and Entertaining,"Next, I'm going to take a bottle of teriyaki sauce and you can use whatever brand you want",tool (multiple)
h281yamVFDc,Food and Entertaining,Just make sure you get a thicker sauce,tool (multiple)
h281yamVFDc,Food and Entertaining,"If not, it'll be too watery.",justification
h281yamVFDc,Food and Entertaining,"And this sauce I like, there's another brand that I also use",side note
h281yamVFDc,Food and Entertaining,This happened to be on sale so I got this one.,side note
h281yamVFDc,Food and Entertaining,And then just put this right over the top.,instruction
h281yamVFDc,Food and Entertaining,"Now I usually like to get some soy sauce and pour it right back into the container, usually about 1/3 cup of soy sauce.",instruction
h281yamVFDc,Food and Entertaining,And then shake it up just to get all the rest of the sauce out of there.,instruction
h281yamVFDc,Food and Entertaining,Support right over the top,instruction
h281yamVFDc,Food and Entertaining,Now we're going to put the lid on.,instruction
h281yamVFDc,Food and Entertaining,"And all you just want to make sure it shuts even if it looks like it comes up past the line, it will be fine because it will kind of melt down, shrink down anyways and then you want to press ceiling.",instruction
h281yamVFDc,Food and Entertaining,And now I'm going to turn manual on and I'm going to cook it for 15 minutes.,instruction
h281yamVFDc,Food and Entertaining,"So the thing about frozen chicken, it takes a lot longer to come up to pressure",justification
h281yamVFDc,Food and Entertaining,"So even though you are cooking it for 15 minutes, it will take a while to come up to pressure, because everything in your pot basically has to heat up and get warm, and then it will come up to pressure and then start counting down from 15 to 0",justification
h281yamVFDc,Food and Entertaining,And then I'm going to let it naturally release for 10 minutes so we'll come back after it's been naturally releasing for 10 minutes,early instruction
h281yamVFDc,Food and Entertaining,And then while my chicken just cooking in the instant pot,late instruction (optional)
h281yamVFDc,Food and Entertaining,I actually like to cook some rice in rice cooker,late instruction (optional)
h281yamVFDc,Food and Entertaining,"Yes, I could cook the rice in the instant pot but for me I like to cook a ton of chicken in the instant pot because we like to have a lot of leftovers for the week, especially some prep meals for me",side note
h281yamVFDc,Food and Entertaining,So this way I can have a lot of rice and I can have a lot of chicken and then of course to go along with the rice,side note
h281yamVFDc,Food and Entertaining,"I like to cook up some either fresh or frozen broccoli, but since I am running around I'm just going to cook some.",late instruction (optional)
h281yamVFDc,Food and Entertaining,Frozen broccoli,late instruction (optional)
h281yamVFDc,Food and Entertaining,Either way,side note
h281yamVFDc,Food and Entertaining,This meal is pretty healthy and I'm excited to eat it,side note
h281yamVFDc,Food and Entertaining,"OK, so it has been naturally releasing for 10 minutes",description
h281yamVFDc,Food and Entertaining,The reason why I want to let it naturally release for 10 minutes is because the chicken was frozen inside and so it has a lot of pressure inside,justification
h281yamVFDc,Food and Entertaining,So when you let it naturally release it kind of like calms it down for a little bit and before you release the valve it doesn't spew out so that's why we are waiting.,effect
h281yamVFDc,Food and Entertaining,"The 10 minutes of naturally releasing along with the 15 minutes of cooked time, ",effect
h281yamVFDc,Food and Entertaining,so we're going to release the valve.,instruction
h281yamVFDc,Food and Entertaining,And now we're going to open it up.,instruction
h281yamVFDc,Food and Entertaining,But we are not done yet.,transition
h281yamVFDc,Food and Entertaining,"So if you can remember, the chicken was frozen sometimes if you're using chicken legs and stuff, sometimes the chickens still frozen together",description
h281yamVFDc,Food and Entertaining,"So at this point I like to kind of turn the chicken over all the chicken that was at the bottom kind of move it to the top, and then the other chicken put at the bottom",tip
h281yamVFDc,Food and Entertaining,And since it was frozen we aren't done cooking it,description
h281yamVFDc,Food and Entertaining,"We want it to be fully cooked off the bone, so before the instant pot I used to make.",side note
h281yamVFDc,Food and Entertaining,This recipe a lot in the crock pot and I would cook it from 9 in the morning to four in the evening and this was with it not being frozen,side note
h281yamVFDc,Food and Entertaining,"Well, we want this chicken to be nice and fall off the bone",justification
h281yamVFDc,Food and Entertaining,so we are going to cook it for another 15 minutes.,early instruction 
h281yamVFDc,Food and Entertaining,"So we're going to put the lid back on, turn it on ceiling again",instruction
h281yamVFDc,Food and Entertaining,So I press the off button and then I'm going to turn on manual and I'm going to cook it for 15 minutes again and let it naturally release for another 10 minutes,instruction
h281yamVFDc,Food and Entertaining,"And the nice thing is, since your pot has already been cooking the chicken in, it's already hot",description
h281yamVFDc,Food and Entertaining,Therefore it won't take nearly as long to build up to pressure.,effect
h281yamVFDc,Food and Entertaining,So we will come back after it has naturally been releasing for 10 minutes.,transition
h281yamVFDc,Food and Entertaining,"All right, time to release the valve",instruction
h281yamVFDc,Food and Entertaining,"All right, we're going to open it up.",instruction
h281yamVFDc,Food and Entertaining,"And if you can see this chicken is has a nice color to it, they are fall off the bone and tender juicy and",outcome
h281yamVFDc,Food and Entertaining,just to let you know the sauce that it has cooked in That is what I put over my rice,tip
h281yamVFDc,Food and Entertaining,"Your chicken is done, but right now I'm headed to karate to take Aidan to karate",side note
h281yamVFDc,Food and Entertaining,And then I am headed to the gym while he's at karate,side note
h281yamVFDc,Food and Entertaining,The nice thing with your instant pot.,reflection
h281yamVFDc,Food and Entertaining,"Keep warm button stays on, so whenever I get home whenever my husband gets home and when my older son gets home from basketball it will stay nice and warm for them",reflection
h281yamVFDc,Food and Entertaining,Whenever they are ready to eat,reflection
h281yamVFDc,Food and Entertaining,"So I'm just going to put the lid back on to keep it warm for everybody, so that's all there is to it.",reflection
h281yamVFDc,Food and Entertaining,Alright guys I am back from the why I had a really good workout,side note
h281yamVFDc,Food and Entertaining,I'm trying to get back in shape in the winter time,side note
h281yamVFDc,Food and Entertaining,I tend to be like a bear and hibernate and Aiden had a lot of fun at karate,side note
h281yamVFDc,Food and Entertaining,"Tristan is back from basketball, he made it on the A-Team so it's pretty exciting",side note
h281yamVFDc,Food and Entertaining,Good job Justin and of course my husband is home from work so of course since I have a household of boys they already dug in and ate theirs,side note
h281yamVFDc,Food and Entertaining,But I'm going to give this a try for you guys.,side note
h281yamVFDc,Food and Entertaining,So I'm going to get a little bit of chicken.,side note
h281yamVFDc,Food and Entertaining,And a little bit of rice.,side note
h281yamVFDc,Food and Entertaining,And some broccoli.,side note
h281yamVFDc,Food and Entertaining,It's a little hot.,side note
h281yamVFDc,Food and Entertaining,Umm?,filler
h281yamVFDc,Food and Entertaining,"It's so good, so much flavor and eating something delicious and nutritious like this doesn't make it so hard to get in shape again.",outcome
h281yamVFDc,Food and Entertaining,Well thank you guys so much,outro
h281yamVFDc,Food and Entertaining,Bye and see you in the next video.,outro
h281yamVFDc,Food and Entertaining,"Alright Aidan, let's head to curb Brady",side note
h281yamVFDc,Food and Entertaining,You gonna say anything?,side note
h281yamVFDc,Food and Entertaining,Yeah.,side note
h281yamVFDc,Food and Entertaining,Excited for caretti yeah be nice and tough,side note
h281yamVFDc,Food and Entertaining,Get strong yeah.,side note
5AU2vJU-QJM,Food and Entertaining,i'm sick,side note
5AU2vJU-QJM,Food and Entertaining,hey guys my name is courtney budzyn,greeting
5AU2vJU-QJM,Food and Entertaining,if you are new here and this is what's for din you haven't noticed,greeting
5AU2vJU-QJM,Food and Entertaining,i'm a little under the weather,side note
5AU2vJU-QJM,Food and Entertaining,it is that time of year when everyone's got the sniffles the coffee magdoff fees,motivation
5AU2vJU-QJM,Food and Entertaining,and the gurgle mix hurdles in their belly,motivation
5AU2vJU-QJM,Food and Entertaining,and when that happens to me the first thing i do is i make a giant pot of soup,motivation
5AU2vJU-QJM,Food and Entertaining,so today i'm gonna be showing you guys how to make a delicious creamy potato broccoli,goal
5AU2vJU-QJM,Food and Entertaining,and cheddar soup that is too die for,goal
5AU2vJU-QJM,Food and Entertaining,it is so creamy it is so delicious,briefing
5AU2vJU-QJM,Food and Entertaining,and it's not overly heavy but it still packs a really good you know punch of flavor,briefing
5AU2vJU-QJM,Food and Entertaining,so without further ado let's get started right,transition
5AU2vJU-QJM,Food and Entertaining,so first things first we are going to chop up our broccoli,instruction
5AU2vJU-QJM,Food and Entertaining,so basically all i do is just glide a knife over the stems of the broccoli and i make sure that i don't cut off too much of the stem because i like to use a little bit of the stem if there is a really thick stem,instruction
5AU2vJU-QJM,Food and Entertaining,how many times are we going to say stem,side note
5AU2vJU-QJM,Food and Entertaining,if there's a thick piece of stem i like to just chop that up and add that to the pot as well,instruction
5AU2vJU-QJM,Food and Entertaining,so what we're going to do is blanch this,subgoal
5AU2vJU-QJM,Food and Entertaining,so i have a pot of boiling hot water and i'm going to add a little bit of salt,instruction
5AU2vJU-QJM,Food and Entertaining,and then we're going to go ahead and add in our broccoli,instruction
5AU2vJU-QJM,Food and Entertaining,now blanching provides an amazing color as well as cooking it really really quickly,justification
5AU2vJU-QJM,Food and Entertaining,so i'm only going to cook this for about three minutes,instruction
5AU2vJU-QJM,Food and Entertaining,i don't want to overcook it,justification
5AU2vJU-QJM,Food and Entertaining,i do not like mushy broccoli soup,justification
5AU2vJU-QJM,Food and Entertaining,i just don't find that to be appealing at all,justification
5AU2vJU-QJM,Food and Entertaining,so after the three minutes i go ahead and take a slotted spoon,instruction
5AU2vJU-QJM,Food and Entertaining,and then i put the broccoli into a bowl full of ice water,instruction
5AU2vJU-QJM,Food and Entertaining,that way it stops the cooking process,effect
5AU2vJU-QJM,Food and Entertaining,and before you drain the liquid out of your pot you want to make sure you reserve a little bit of that broccoli juice,instruction
5AU2vJU-QJM,Food and Entertaining,if that's what you wanna call it because it has flavor in that,justification
5AU2vJU-QJM,Food and Entertaining,it's like a stack of broccoli stack,description
5AU2vJU-QJM,Food and Entertaining,so i went ahead and drained my pot and dried it out,late instruction
5AU2vJU-QJM,Food and Entertaining,and to that i'm going to add a slab of butter over medium the heat to that,instruction
