Task	Greeting	Overview	Method	Supplementary	Explanation	Description	Conclusion	Misc
Summary	5	5	5	5	5	5	5	5
Summary	1	3	5	4	4	4	2	1
Summary	5	5	5	5	4	5	5	5
Summary	5	5	5	5	5	5	5	5
Summary	5	5	5	5	5	4	5	5
Summary	5	5	5	5	5	5	5	5
Summary	3	3	5	3	4	4	4	4
Summary	5	5	5	5	5	5	5	5
Summary	5	5	5	5	5	5	5	5
Follow	1	4	5	3	4	3	1	1
Follow	1	1	5	3	4	3	1	1
Follow	5	5	5	5	5	5	5	5
Follow	5	5	5	5	5	5	5	5
Follow	5	5	5	5	5	5	5	5
Follow	3	4	5	5	5	4	5	5
Follow	5	4	5	4	5	4	4	5
Follow	5	5	5	5	5	5	5	5
Follow	5	5	5	5	5	5	5	5
