Task	Greeting	Overview	Method	Supplementary	Explanation	Description	Conclusion	Misc
Summary	2	5	5	3	4	3	3	1
Summary	1	4	5	4	4	5	2	1
Summary	2	3	5	4	4	4	2	1
Summary	1	2	5	2	2	3	1	1
Summary	1	5	5	2	2	1	5	1
Summary	1	4	5	4	2	3	3	1
Summary	1	5	5	4	4	3	4	1
Summary	1	4	4	4	4	4	3	1
Summary	1	5	5	3	4	4	2	1
Follow	1	5	5	5	5	4	2	1
Follow	1	1	5	3	4	3	1	1
Follow	1	4	5	4	1	5	4	1
Follow	1	2	5	5	5	3	1	1
Follow	1	4	5	5	5	4	1	1
Follow	3	4	5	5	5	5	4	1
Follow	5	5	5	3	5	4	5	1
Follow	1	5	5	3	3	3	3	1
Follow	1	4	5	4	4	4	4	1
